IP,DNS,NetBIOS,Datacentre,Tracking Method,OS,IP Status,QID,Title,Vuln Status,Type,Severity,Port,Protocol,FQDN,SSL,First Detected,Last Detected,Times Detected,Date Last Fixed,First Reopened,Last Reopened,Times Reopened,CVE ID,Vendor Reference,Bugtraq ID,CVSS,CVSS Base,CVSS Temporal,CVSS Environment,CVSS3.1,CVSS3.1 Base,CVSS3.1 Temporal,threat,impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Ticket State,Instance,Category
10.30.17.45,asset-025.corp.local,ASSET-025,DR,IP,Windows Server 2019,Active,300065,Remote Desktop Weak Encryption Enabled,Active,VUL,1,3389,tcp,asset-025.corp.local,No,2026-04-15,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95065,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Observed malware association,Remote Desktop Weak Encryption Enabled detected on 10.30.17.45:3389.,Yes,Open,tcp/3389,Windows
10.30.18.46,asset-026.corp.local,ASSET-026,DC1,IP,Ubuntu 22.04,Active,300066,Nginx Security Update Available,Active,VUL,2,443,tcp,asset-026.corp.local,Yes,2026-01-21,2026-06-30,6,,,,0,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95066,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.18.46:443.,Yes,Open,tcp/443,Web Server
10.30.10.47,asset-027.corp.local,ASSET-027,DC2,IP,RHEL 8,Active,300067,SMB Signing Not Required,Active,VUL,3,445,tcp,asset-027.corp.local,No,2026-04-17,2026-06-30,3,,,,0,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95067,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,,,SMB Signing Not Required detected on 10.30.10.47:445.,No,Open,tcp/445,Windows
10.30.11.48,asset-028.corp.local,ASSET-028,DR,IP,Network Appliance,Active,300068,Oracle Java Unsupported Version,Active,VUL,4,0,tcp,asset-028.corp.local,No,2025-11-09,2026-06-30,8,,,,0,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95068,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Oracle Java Unsupported Version detected on 10.30.11.48:0.,No,Open,tcp/0,General
10.30.12.49,asset-029.corp.local,ASSET-029,DC1,IP,Windows Server 2019,Active,300069,Linux Kernel Security Update Available,Active,VUL,5,0,tcp,asset-029.corp.local,No,2026-04-19,2026-06-30,3,,,,0,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95069,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.12.49:0.,Yes,Open,tcp/0,Linux
10.30.13.50,asset-030.corp.local,ASSET-030,DC2,IP,Ubuntu 22.04,Active,300070,TLS 1.0 Protocol Detection,Active,VUL,1,443,tcp,asset-030.corp.local,Yes,2026-04-20,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95070,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/,Observed malware association,TLS 1.0 Protocol Detection detected on 10.30.13.50:443.,Yes,Open,tcp/443,SSL
10.30.14.51,asset-031.corp.local,ASSET-031,DR,IP,RHEL 8,Active,300071,Apache Tomcat AJP Request Injection,Active,VUL,2,8009,tcp,asset-031.corp.local,No,2026-04-21,2026-06-30,3,,,,0,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95071,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,No,Open,tcp/8009,Web Application
10.30.15.52,asset-032.corp.local,ASSET-032,DC1,IP,Network Appliance,Active,300072,Apache Log4j Remote Code Execution,Active,VUL,3,8080,tcp,asset-032.corp.local,No,2026-04-22,2026-06-30,3,,,,0,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95072,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,No,Open,tcp/8080,Web Application
10.30.16.53,asset-033.corp.local,ASSET-033,DC2,IP,Windows Server 2019,Active,300073,Microsoft SQL Server Unsupported Version,Active,VUL,4,1433,tcp,asset-033.corp.local,No,2026-04-23,2026-06-30,3,,,,0,,https://learn.microsoft.com/sql/sql-server/end-of-support,95073,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,,Microsoft SQL Server Unsupported Version detected on 10.30.16.53:1433.,Yes,Open,tcp/1433,Database
10.30.17.54,asset-034.corp.local,ASSET-034,DR,IP,Ubuntu 22.04,Active,300074,OpenSSL Security Update Available,Active,VUL,5,443,tcp,asset-034.corp.local,Yes,2026-04-24,2026-06-30,3,,,,0,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95074,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,,OpenSSL Security Update Available detected on 10.30.17.54:443.,Yes,Open,tcp/443,SSL
10.30.18.55,asset-035.corp.local,ASSET-035,DC1,IP,RHEL 8,Active,300075,Remote Desktop Weak Encryption Enabled,Active,VUL,1,3389,tcp,asset-035.corp.local,No,2026-04-25,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95075,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Remote Desktop Weak Encryption Enabled detected on 10.30.18.55:3389.,No,Open,tcp/3389,Windows
10.30.10.56,asset-036.corp.local,ASSET-036,DC2,IP,Network Appliance,Active,300076,Nginx Security Update Available,Re-Opened,VUL,2,443,tcp,asset-036.corp.local,Yes,2026-04-01,2026-06-30,3,,2026-04-22,2026-06-30,1,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95076,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.10.56:443.,No,Open,tcp/443,Web Server
10.30.11.57,asset-037.corp.local,ASSET-037,DR,IP,Windows Server 2019,Active,300077,SMB Signing Not Required,Active,VUL,3,445,tcp,asset-037.corp.local,No,2026-01-17,2026-06-30,6,,,,0,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95077,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,,SMB Signing Not Required detected on 10.30.11.57:445.,Yes,Open,tcp/445,Windows
10.30.12.58,asset-038.corp.local,ASSET-038,DC1,IP,Ubuntu 22.04,Active,300078,Oracle Java Unsupported Version,Active,VUL,4,0,tcp,asset-038.corp.local,No,2026-04-03,2026-06-30,3,,,,0,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95078,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Oracle Java Unsupported Version detected on 10.30.12.58:0.,Yes,Open,tcp/0,General
10.30.13.59,asset-039.corp.local,ASSET-039,DC2,IP,RHEL 8,Active,300079,Linux Kernel Security Update Available,Active,VUL,5,0,tcp,asset-039.corp.local,No,2026-04-04,2026-06-30,3,,,,0,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95079,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.13.59:0.,No,Open,tcp/0,Linux
10.30.14.60,asset-040.corp.local,ASSET-040,DR,IP,Network Appliance,Active,300080,TLS 1.0 Protocol Detection,Active,VUL,1,443,tcp,asset-040.corp.local,Yes,2026-04-05,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95080,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.14.60:443.,No,Open,tcp/443,SSL
10.30.11.21,asset-001.corp.local,ASSET-001,DC1,IP,Windows Server 2019,Active,300081,Apache Tomcat AJP Request Injection,Active,VUL,2,8009,tcp,asset-001.corp.local,No,2026-04-06,2026-06-30,3,,,,0,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95081,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Tomcat AJP Request Injection detected on 10.30.11.21:8009.,Yes,Open,tcp/8009,Web Application
10.30.12.22,asset-002.corp.local,ASSET-002,DC2,IP,Ubuntu 22.04,Active,300082,Apache Log4j Remote Code Execution,Active,VUL,3,8080,tcp,asset-002.corp.local,No,2026-04-07,2026-06-30,3,,,,0,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95082,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html,,Apache Log4j Remote Code Execution detected on 10.30.12.22:8080.,Yes,Open,tcp/8080,Web Application
10.30.13.23,asset-003.corp.local,ASSET-003,DR,IP,RHEL 8,Active,300083,Microsoft SQL Server Unsupported Version,Active,VUL,4,1433,tcp,asset-003.corp.local,No,2026-04-08,2026-06-30,3,,,,0,,https://learn.microsoft.com/sql/sql-server/end-of-support,95083,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Microsoft SQL Server Unsupported Version detected on 10.30.13.23:1433.,No,Open,tcp/1433,Database
10.30.14.24,asset-004.corp.local,ASSET-004,DC1,IP,Network Appliance,Active,300084,OpenSSL Security Update Available,Active,VUL,5,443,tcp,asset-004.corp.local,Yes,2026-04-09,2026-06-30,3,,,,0,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95084,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,,OpenSSL Security Update Available detected on 10.30.14.24:443.,No,Open,tcp/443,SSL
10.30.15.25,asset-005.corp.local,ASSET-005,DC2,IP,Windows Server 2019,Active,300085,Remote Desktop Weak Encryption Enabled,Active,VUL,1,3389,tcp,asset-005.corp.local,No,2025-11-06,2026-06-30,8,,,,0,,https://www.qualys.com/research/security-alerts/,95085,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Observed malware association,Remote Desktop Weak Encryption Enabled detected on 10.30.15.25:3389.,Yes,Open,tcp/3389,Windows
10.30.16.26,asset-006.corp.local,ASSET-006,DR,IP,Ubuntu 22.04,Active,300086,Nginx Security Update Available,Active,VUL,2,443,tcp,asset-006.corp.local,Yes,2026-04-11,2026-06-30,3,,,,0,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95086,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html,,Nginx Security Update Available detected on 10.30.16.26:443.,Yes,Open,tcp/443,Web Server
10.30.17.27,asset-007.corp.local,ASSET-007,DC1,IP,RHEL 8,Active,300087,SMB Signing Not Required,Active,VUL,3,445,tcp,asset-007.corp.local,No,2026-04-12,2026-06-30,3,,,,0,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95087,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,,,SMB Signing Not Required detected on 10.30.17.27:445.,No,Open,tcp/445,Windows
10.30.18.28,asset-008.corp.local,ASSET-008,DC2,IP,Network Appliance,Active,300088,Oracle Java Unsupported Version,Active,VUL,4,0,tcp,asset-008.corp.local,No,2026-01-28,2026-06-30,6,,,,0,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95088,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Oracle Java Unsupported Version detected on 10.30.18.28:0.,No,Open,tcp/0,General
10.30.10.29,asset-009.corp.local,ASSET-009,DR,IP,Windows Server 2019,Active,300089,Linux Kernel Security Update Available,Active,VUL,5,0,tcp,asset-009.corp.local,No,2026-04-14,2026-06-30,3,,,,0,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95089,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,,Linux Kernel Security Update Available detected on 10.30.10.29:0.,Yes,Open,tcp/0,Linux
10.30.11.30,asset-010.corp.local,ASSET-010,DC1,IP,Ubuntu 22.04,Active,300090,TLS 1.0 Protocol Detection,Active,VUL,1,443,tcp,asset-010.corp.local,Yes,2026-04-15,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95090,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.11.30:443.,Yes,Open,tcp/443,SSL
10.30.12.31,asset-011.corp.local,ASSET-011,DC2,IP,RHEL 8,Active,300091,Apache Tomcat AJP Request Injection,Active,VUL,2,8009,tcp,asset-011.corp.local,No,2026-04-16,2026-06-30,3,,,,0,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95091,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,,Apache Tomcat AJP Request Injection detected on 10.30.12.31:8009.,No,Open,tcp/8009,Web Application
10.30.13.32,asset-012.corp.local,ASSET-012,DR,IP,Network Appliance,Active,300092,Apache Log4j Remote Code Execution,Active,VUL,3,8080,tcp,asset-012.corp.local,No,2026-04-17,2026-06-30,3,,,,0,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95092,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.13.32:8080.,No,Open,tcp/8080,Web Application
10.30.14.33,asset-013.corp.local,ASSET-013,DC1,IP,Windows Server 2019,Active,300093,Microsoft SQL Server Unsupported Version,Active,VUL,4,1433,tcp,asset-013.corp.local,No,2026-04-18,2026-06-30,3,,,,0,,https://learn.microsoft.com/sql/sql-server/end-of-support,95093,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Microsoft SQL Server Unsupported Version detected on 10.30.14.33:1433.,Yes,Open,tcp/1433,Database
10.30.15.34,asset-014.corp.local,ASSET-014,DC2,IP,Ubuntu 22.04,Active,300094,OpenSSL Security Update Available,Active,VUL,5,443,tcp,asset-014.corp.local,Yes,2026-04-19,2026-06-30,3,,,,0,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95094,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,,OpenSSL Security Update Available detected on 10.30.15.34:443.,Yes,Open,tcp/443,SSL
10.30.16.35,asset-015.corp.local,ASSET-015,DR,IP,RHEL 8,Active,300095,Remote Desktop Weak Encryption Enabled,Re-Opened,VUL,1,3389,tcp,asset-015.corp.local,No,2026-04-20,2026-06-30,3,,2026-05-11,2026-06-30,1,,https://www.qualys.com/research/security-alerts/,95095,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Remote Desktop Weak Encryption Enabled detected on 10.30.16.35:3389.,No,Open,tcp/3389,Windows
10.30.17.36,asset-016.corp.local,ASSET-016,DC1,IP,Network Appliance,Active,300096,Nginx Security Update Available,Active,VUL,2,443,tcp,asset-016.corp.local,Yes,2026-04-21,2026-06-30,3,,,,0,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95096,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.17.36:443.,No,Open,tcp/443,Web Server
10.30.18.37,asset-017.corp.local,ASSET-017,DC2,IP,Windows Server 2019,Active,300097,SMB Signing Not Required,Active,VUL,3,445,tcp,asset-017.corp.local,No,2026-04-22,2026-06-30,3,,,,0,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95097,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,,SMB Signing Not Required detected on 10.30.18.37:445.,Yes,Open,tcp/445,Windows
10.30.10.38,asset-018.corp.local,ASSET-018,DR,IP,Ubuntu 22.04,Active,300098,Oracle Java Unsupported Version,Active,VUL,4,0,tcp,asset-018.corp.local,No,2026-04-23,2026-06-30,3,,,,0,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95098,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.10.38:0.,Yes,Open,tcp/0,General
10.30.11.39,asset-019.corp.local,ASSET-019,DC1,IP,RHEL 8,Active,300099,Linux Kernel Security Update Available,Active,VUL,5,0,tcp,asset-019.corp.local,No,2026-01-24,2026-06-30,6,,,,0,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95099,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.11.39:0.,No,Open,tcp/0,Linux
